Date,Close,High,Low,Open,Volume,Stock
2020-01-01,1866.11376953125,1880.1464732577829,1854.4052770234578,1866.4580504117255,1354908,TCS
2020-01-02,1857.5478515625,1876.746243176184,1850.273182660898,1876.746243176184,2380752,TCS
2020-01-03,1894.56689453125,1913.808371816653,1863.0145373869714,1863.0145373869714,4655761,TCS
2020-01-06,1894.3948974609375,1916.3481665455297,1883.5904033845218,1898.312091432383,3023209,TCS
2020-01-07,1899.0438232421875,1906.6196847004483,1880.0606615696283,1894.4378575337112,2429317,TCS
2020-01-08,1941.572998046875,1945.6623325954718,1895.7724931393373,1898.3121430854048,5197454,TCS
2020-01-09,1906.3616943359375,1938.7318784954782,1902.61664085624,1935.9770005092626,3734173,TCS
2020-01-10,1905.67236328125,1923.277976851779,1900.8942582313016,1918.1125033239764,1915807,TCS
2020-01-13,1885.69970703125,1910.3216774885109,1880.8354254802457,1909.3747998846015,2843893,TCS
2020-01-14,1899.9476318359375,1919.662653362504,1889.702857592631,1889.702857592631,2948452,TCS
2020-01-15,1917.165771484375,1920.6955964567649,1889.0139775712546,1905.1991729981269,2620681,TCS
2020-01-16,1927.4114990234375,1936.1927670015405,1906.9217336186803,1917.209598903254,3117214,TCS
2020-01-17,1910.45068359375,1940.1090720709492,1905.1990341752853,1929.0893519332446,3281059,TCS
2020-01-20,1868.4814453125,1930.337879575038,1856.2994078692968,1889.6166781001389,5817599,TCS
2020-01-21,1869.0843505859375,1882.4284959453314,1857.8924867361231,1868.137262648226,1902980,TCS
2020-01-22,1899.9476318359375,1902.616544546567,1871.3653800813006,1877.6500831022909,1773686,TCS
2020-01-23,1890.4996337890625,1913.6245264722568,1884.2438439944851,1906.7647715193734,2069866,TCS
2020-01-24,1883.9847412109375,1890.4994327121674,1872.422401429644,1890.4994327121674,1319430,TCS
2020-01-27,1871.775146484375,1892.6564958676415,1868.1079599578986,1889.4207430501624,1549101,TCS
2020-01-28,1884.2867431640625,1887.7813983745964,1856.8907023647682,1875.8737857532556,1743024,TCS
2020-01-29,1859.1339111328125,1887.0475410247352,1855.1646374116426,1885.3649919741576,2306761,TCS
2020-01-30,1844.6810302734375,1868.1077943305613,1833.5931006708743,1863.7934576231005,2098567,TCS
2020-01-31,1793.944580078125,1850.2898656281682,1787.5162598295744,1846.0185033027672,3287223,TCS
2020-02-03,1814.1788330078125,1893.7351706155982,1806.1541235048762,1856.8907722391498,4728073,TCS
2020-02-04,1818.7088623046875,1843.6888327753682,1800.4593000561017,1837.0447955624147,3509339,TCS
2020-02-05,1852.1884765625,1860.9464983796906,1815.732320705576,1824.9649618318092,2439322,TCS
2020-02-06,1836.483642578125,1876.0459806017295,1825.3957138688295,1850.8502983921717,2640065,TCS
2020-02-07,1843.559326171875,1856.0277175677377,1828.4159616578504,1845.6733091015299,2083442,TCS
2020-02-10,1865.476318359375,1869.8338412938533,1828.416201985083,1847.3129156553066,2383032,TCS
2020-02-11,1858.0985107421875,1876.563998861233,1853.0940485237627,1866.382121760579,1335820,TCS
2020-02-12,1873.0694580078125,1885.3653187824807,1855.1649589850497,1856.1141974145087,1620407,TCS
2020-02-13,1891.3624267578125,1895.7199498854284,1873.2853942654824,1874.967943804775,1645948,TCS
2020-02-14,1884.675048828125,1908.662806155223,1873.2852405800134,1887.9539872819296,1500115,TCS
2020-02-17,1901.113037109375,1912.9774665932075,1889.8525728125126,1895.6769291045757,1774724,TCS
2020-02-18,1911.8984375,1916.428491340404,1886.2713179064835,1898.2650904766824,2486223,TCS
2020-02-19,1895.158935546875,1924.194339863832,1890.1110768931499,1911.8984791718772,1760463,TCS
2020-02-20,1861.0328369140625,1910.7338830783842,1856.2438797173909,1902.1915783088848,2317278,TCS
2020-02-24,1825.2666015625,1880.1448406846946,1817.802672308403,1860.3420763914808,3092877,TCS
2020-02-25,1860.4715576171875,1878.160340242966,1821.5131767326154,1825.3960802358351,2674567,TCS
2020-02-26,1832.3853759765625,1867.1587652062894,1823.1957113633828,1858.6164618327377,2686842,TCS
2020-02-27,1816.767333984375,1829.2357259419773,1800.1139508187418,1829.2357259419773,2349001,TCS
2020-02-28,1725.86474609375,1785.7045963776277,1717.1066184061267,1784.4102949064672,4298076,TCS
2020-03-02,1726.8565673828125,1772.2864516660845,1713.3957516968874,1755.935156590717,2667076,TCS
2020-03-03,1756.970458984375,1777.5067440821795,1736.0891112103618,1742.9920500223313,2757585,TCS
2020-03-04,1797.525390625,1807.2326492264394,1747.306548259086,1774.0554386274966,3237002,TCS
2020-03-05,1833.63671875,1853.2237698905299,1798.2591494027706,1799.6827965877017,3937056,TCS
2020-03-06,1826.2154541015625,1832.4280565264742,1787.5159821111783,1810.2955945561755,2595027,TCS
2020-03-09,1701.8763427734375,1794.677660126744,1669.6482693383523,1790.4496945101193,4940975,TCS
2020-03-11,1685.78369140625,1714.7761150507242,1656.705107433999,1667.9223815989167,6796449,TCS
2020-03-12,1527.145751953125,1646.696064928506,1517.2227774695693,1642.8994275382656,8728786,TCS
2020-03-13,1558.59716796875,1570.4184072537998,1299.5212741347095,1456.4336637054846,8029720,TCS
2020-03-16,1463.768310546875,1589.6175025323976,1446.0363429555694,1514.3323202303477,7844271,TCS
2020-03-17,1430.634033203125,1493.6233482959044,1400.563127817395,1492.7604809658662,5713248,TCS
2020-03-18,1427.527587890625,1478.5662063803604,1404.5321547984943,1446.855835199992,7258778,TCS
2020-03-19,1422.26953125,1464.945853737793,1344.3917439930342,1355.6474785594357,5135111,TCS
2020-03-20,1562.29296875,1624.482259820397,1414.1426627757016,1416.750178441545,8547498,TCS
2020-03-23,1451.25634765625,1521.0508969686175,1406.1029077548465,1408.0585446223774,7003490,TCS
2020-03-24,1480.3302001953125,1538.4343227468346,1419.227370812281,1436.7847075341913,6350865,TCS
2020-03-25,1521.3115234375,1573.2010401676387,1460.2087002660955,1477.592137174025,2765520,TCS
2020-03-26,1556.6434326171875,1592.3664839814446,1497.192157217009,1591.975292951126,4556067,TCS
2020-03-27,1585.8038330078125,1607.967712285258,1521.3982285627783,1581.8925601941455,4331250,TCS
2020-03-30,1545.822265625,1655.772513925007,1532.828187811398,1534.9576165834974,8513547,TCS
2020-03-31,1587.194580078125,1612.3136659591744,1547.1257818907443,1597.016263717797,3927593,TCS
2020-04-01,1485.197509765625,1594.7131710563165,1479.330599339338,1587.0210208285353,4941878,TCS
2020-04-03,1437.783935546875,1512.358917722895,1434.133456461366,1512.358917722895,5735369,TCS
2020-04-07,1542.953857421875,1552.2105590348212,1481.938034736679,1486.2838940760826,5427577,TCS
2020-04-08,1482.3289794921875,1569.7242449849496,1478.4612074858246,1529.7423428424756,6285615,TCS
2020-04-09,1535.0875244140625,1546.0825669603507,1504.709911714236,1521.441465906397,5307397,TCS
2020-04-13,1529.0908203125,1553.2103429861802,1517.5742914683103,1530.6118712919213,2990438,TCS
2020-04-15,1508.1436767578125,1574.9395175255652,1501.7552843719732,1551.4718757081314,4761399,TCS
2020-04-16,1491.5423583984375,1534.0013809909965,1455.9063134380372,1486.2403253657312,6245533,TCS
2020-04-17,1569.8980712890625,1609.6626813561127,1523.658173716697,1564.5092485396776,9895823,TCS
2020-04-20,1580.719482421875,1590.5845621749102,1566.6823351476917,1590.5845621749102,3244282,TCS
2020-04-21,1510.3167724609375,1559.8160762547022,1501.6684472552001,1534.0886058413487,5122541,TCS
2020-04-22,1537.9998779296875,1555.8179042069175,1494.2370882688033,1510.3167705189865,3829836,TCS
2020-04-23,1632.52197265625,1651.4264597614135,1530.481179659398,1547.1258412501666,5934366,TCS
2020-04-24,1580.63232421875,1609.662575711856,1571.2887279309816,1599.884393550238,2987102,TCS
2020-04-27,1596.3209228515625,1629.697141530114,1586.238551089311,1592.583547733698,3374741,TCS
2020-04-28,1615.833984375,1623.6130300607945,1592.8443250805258,1621.0055144878918,2678505,TCS
2020-04-29,1656.3375244140625,1662.3348320046307,1608.0115858945749,1628.8282113639123,4241510,TCS
2020-04-30,1750.903076171875,1766.157083580823,1688.1054141203424,1720.9601503395816,5915544,TCS
2020-05-04,1677.892822265625,1708.7919252046543,1663.2907982637025,1708.7919252046543,3729348,TCS
2020-05-05,1679.8917236328125,1718.3525741156748,1674.8939859994464,1699.317691300753,2905528,TCS
2020-05-06,1654.555908203125,1698.1014070840179,1645.8641876241002,1686.0200003592572,3517431,TCS
2020-05-07,1644.1689453125,1681.3694366976029,1636.9547765436193,1660.118227482169,3166754,TCS
2020-05-08,1645.6898193359375,1685.758615953224,1639.4752200782516,1685.4109260318023,2686530,TCS
2020-05-11,1682.1085205078125,1696.102167709688,1659.2492557388434,1659.2492557388434,2449841,TCS
2020-05-12,1694.45068359375,1700.5348871255048,1660.335685219267,1680.4570366907315,3256595,TCS
2020-05-13,1694.5809326171875,1733.1286832641551,1673.720808044299,1733.1286832641551,2656665,TCS
2020-05-14,1653.46923828125,1671.5045562483178,1643.6910538412735,1660.1184249204525,2263146,TCS
2020-05-15,1645.25537109375,1666.5500808364236,1621.1792478470898,1665.333219059684,3173682,TCS
2020-05-18,1691.060791015625,1697.4491831230816,1627.1766577408926,1657.510777617891,3727694,TCS
2020-05-19,1693.7119140625,1709.1831108610181,1654.0341939697962,1654.0341939697962,3198693,TCS
2020-05-20,1698.0142822265625,1706.0976237155612,1678.979395504149,1694.8852844598855,2778505,TCS
2020-05-21,1730.695068359375,1736.6054797997292,1687.1930778332528,1691.408540385522,3400908,TCS
2020-05-22,1756.0313720703125,1766.1572456089036,1704.6633356055424,1718.4396885700246,3663418,TCS
